Type,Name,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,
CB,P.J. Williams,27,NO,1,2010000,80,82,83,85,47,48,70,71,50,51,50,51,50,51,45,46,70,71,66,67,80,50,50,50
EDGE,Noah Spence,26,NO,1,500000,61,63,80,83,59,61,69,72,54,56,54,56,55,57,25,26,61,63,59,61,77,56,55,55
DL,Sheldon Rankins,26,NO,1,3200000,51,54,78,81,78,81,73,77,71,75,71,75,78,82,30,32,63,66,59,62,77,74,77,78
DL,David Onyemata,28,NO,3,8670000,50,50,72,72,78,78,72,72,63,63,63,63,69,69,25,25,59,59,55,55,78,69,69,69
EDGE,Trey Hendrickson,26,NO,1,500000,69,71,81,83,59,61,70,72,59,61,59,61,50,52,31,32,61,63,63,65,84,54,51,50
LB,Alex Anzalone,26,NO,1,520000,71,74,84,87,53,55,70,73,65,68,65,68,55,57,43,45,62,64,68,71,57,54,55,55
CB,Marshon Lattimore,24,NO,2,3840000,86,89,91,94,51,54,76,81,48,51,48,51,61,65,51,54,78,83,72,77,69,61,61,61
S,Marcus Williams,24,NO,1,1560000,78,81,87,90,50,53,72,77,54,58,54,58,80,86,59,62,82,88,69,74,80,68,76,80
CB,Justin Hardee,26,NO,1,1500000,86,88,84,86,48,49,70,71,41,42,41,42,38,39,54,55,65,66,65,66,61,44,40,38
EDGE,Marcus Davenport,24,NO,2,3440000,71,74,76,79,63,66,68,73,69,75,69,75,54,58,17,18,60,65,65,70,75,57,55,54
DL,Taylor Stallworth,25,NO,1,500000,45,46,62,64,63,65,62,64,57,59,57,59,49,50,21,22,46,47,49,50,75,53,50,49
EDGE,Carl Granderson,24,NO,2,500000,59,59,73,73,53,53,63,63,54,54,54,54,41,41,27,27,55,55,55,55,69,47,43,41
LB,Chase Hansen,27,NO,2,500000,71,72,81,83,47,48,63,64,71,72,71,72,31,32,42,43,53,54,68,69,69,41,34,31
S,Chauncey Gardner-Johns,23,NO,3,500000,80,83,85,88,47,50,69,73,48,51,48,51,65,69,51,54,72,76,67,71,77,56,62,65
S,Saquan Hampton,25,NO,3,500000,75,78,85,88,42,44,67,70,46,48,46,48,43,45,43,45,66,69,64,67,69,43,43,43
LB,Kaden Elliss,25,NO,3,500000,65,68,88,91,51,53,72,75,55,57,55,57,41,43,34,35,62,64,65,68,73,45,42,41
S,Antoine Brooks,22,PIT,4,500000,78,80,91,93,35,36,69,70,54,55,54,55,47,48,36,37,62,63,71,72,52,44,46,47
S,Josh Metellus,22,MIN,4,500000,69,72,83,86,46,49,68,73,50,54,50,54,41,44,43,46,64,68,62,66,73,42,41,41
LB,K.J. Wright,31,SEA,1,7000000,61,61,79,79,49,49,64,64,77,77,77,77,82,82,46,46,64,64,65,65,84,65,76,82
CB,Neiko Thorpe,30,SEA,1,1190000,78,78,83,83,35,35,63,63,39,39,39,39,43,43,38,38,67,67,61,61,84,41,42,43
EDGE,Bruce Irvin,33,SEA,1,5500000,73,73,84,84,51,51,69,69,61,61,61,61,57,57,48,48,65,65,67,67,88,54,56,57
LB,Bobby Wagner,30,SEA,3,18000000,75,75,85,85,63,63,74,74,92,92,92,92,90,90,52,52,80,80,79,79,96,83,88,90
EDGE,Benson Mayowa,29,SEA,1,3050000,59,59,80,80,51,51,66,66,55,55,55,55,59,59,26,26,63,63,58,58,77,54,57,59
S,Brad McDougald,30,SEA,1,2150000,75,75,84,84,48,48,67,67,52,52,52,52,63,63,55,55,68,68,65,65,78,55,60,63
S,Quandre Diggs,27,SEA,2,6200000,77,79,84,86,50,51,69,70,52,53,52,53,71,72,48,49,72,73,66,67,84,60,67,71
CB,Quinton Dunbar,28,SEA,1,1900000,82,82,87,87,46,46,71,71,33,33,33,33,69,69,51,51,74,74,63,63,78,58,65,69
DL,Jarran Reed,28,SEA,2,11500000,46,47,68,69,80,82,69,70,77,79,77,79,75,77,21,21,57,58,57,58,82,73,74,75
DL,Nazair Jones,26,FA,0,0,49,50,67,69,75,77,67,69,57,59,57,59,50,52,35,36,48,49,51,53,73,58,53,50
CB,Shaquill Griffin,25,SEA,1,610000,88,91,88,91,48,50,73,76,46,48,46,48,73,76,50,52,80,83,70,73,84,63,70,73
S,Delano Hill,25,SEA,1,500000,78,81,84,87,51,54,70,74,54,57,54,57,48,50,49,51,65,68,67,70,82,49,48,48
EDGE,Branden Jackson,28,SEA,1,2130000,55,55,80,80,54,54,66,66,53,53,53,53,45,45,23,23,55,55,56,56,75,48,46,45
EDGE,Rasheem Green,23,SEA,2,530000,63,64,76,77,61,62,67,68,55,56,55,56,47,47,21,21,56,57,57,58,77,52,49,47
LB,Shaquem Griffin,25,SEA,2,500000,82,85,84,87,52,54,71,74,54,56,54,56,47,49,38,40,67,70,68,71,82,50,48,47
CB,Tre Flowers,25,SEA,2,500000,82,84,83,85,47,48,69,71,48,49,48,49,59,61,46,47,69,71,66,68,80,54,57,59
DL,Poona Ford,25,SEA,1,500000,48,49,64,66,71,73,66,68,73,75,73,75,54,56,26,27,50,52,56,58,80,59,56,54
LB,Ben Burr-Kirven,23,SEA,3,500000,73,76,86,89,51,54,70,74,71,75,71,75,45,48,44,47,64,68,72,76,75,48,46,45
S,Marquise Blair,23,SEA,3,1560000,80,83,87,90,43,46,69,75,47,51,47,51,51,55,48,51,69,75,67,72,71,48,50,51
CB,Ugo Amadi,23,SEA,3,500000,77,80,84,87,44,46,67,70,50,53,50,53,45,47,48,50,64,67,65,68,78,46,45,45
EDGE,L.J. Collier,25,SEA,3,2710000,54,57,66,69,67,70,65,69,53,56,53,56,46,49,28,30,50,53,51,54,78,54,49,46
LB,Cody Barton,24,SEA,3,540000,69,72,85,88,59,62,73,77,63,67,63,67,53,56,41,43,63,67,67,71,69,54,53,53
LB,Markus Bailey,23,CIN,4,500000,54,57,79,82,46,49,64,68,69,73,69,73,43,46,45,48,55,58,60,64,75,44,43,43
CB,Dane Jackson,24,BUF,4,500000,78,81,84,87,49,51,69,72,40,42,40,42,36,37,55,57,64,67,62,64,86,41,38,36
DL,Derrek Tuszka,21,DEN,4,500000,51,52,66,67,48,49,55,56,51,52,51,52,71,72,9,9,53,54,50,51,48,60,67,71
EDGE,Chapelle Russell,23,TB,4,500000,51,52,67,68,51,52,58,59,69,70,69,70,49,49,38,38,48,48,56,57,48,62,53,49
CB,Joe Haden,31,PIT,1,11200000,77,77,90,90,47,47,72,72,37,37,37,37,82,82,54,54,81,81,65,65,90,65,76,82
EDGE,Cameron Heyward,31,PIT,1,9870000,51,51,70,70,86,86,72,72,82,82,82,82,94,94,17,17,60,60,61,61,78,87,92,94
EDGE,Tyson Alualu,33,PIT,1,2880000,52,52,70,70,73,73,68,68,61,61,61,61,59,59,20,20,54,54,54,54,90,61,60,59
LB,Vince Williams,31,PIT,2,6200000,65,65,75,75,52,52,64,64,73,73,73,73,73,73,39,39,62,62,64,64,63,60,69,73
EDGE,Stephon Tuitt,27,PIT,3,12000000,54,56,68,70,82,84,71,73,75,77,75,77,88,91,33,34,60,62,59,61,69,82,86,88
DL,Daniel McCullers,28,PIT,1,1380000,43,43,52,52,77,77,62,62,63,63,63,63,52,52,21,21,44,44,48,48,77,59,54,52
LB,Bud Dupree,27,PIT,1,15830000,75,78,78,81,54,57,67,70,65,68,65,68,69,72,44,46,72,76,65,68,78,61,66,69
CB,Steven Nelson,27,PIT,2,8500000,80,82,91,93,53,54,75,77,43,44,43,44,73,74,48,49,77,79,69,70,88,63,70,73
S,Jordan Dangerfield,30,PIT,1,500000,69,69,89,89,42,42,70,70,49,49,49,49,46,46,42,42,70,70,65,65,75,45,46,46
CB,Mike Hilton,26,PIT,1,3260000,75,77,90,92,46,47,72,73,46,47,46,47,73,74,46,47,73,74,67,68,75,61,69,73
DL,Chris Wormley,27,PIT,1,530000,55,56,78,80,67,68,71,72,55,56,55,56,46,47,22,22,53,54,56,57,80,54,49,46
LB,T.J. Watt,26,PIT,1,2310000,67,70,84,87,55,58,71,75,65,69,65,69,80,85,43,46,73,77,67,71,73,69,76,80
CB,Cameron Sutton,25,PIT,1,500000,77,80,91,94,49,51,74,77,39,41,39,41,50,52,49,51,68,71,66,69,77,49,50,50
S,Minkah Fitzpatrick,24,PIT,2,4110000,80,83,92,95,46,49,74,81,46,50,46,50,78,85,51,54,77,84,70,76,88,65,74,78
S,Terrell Edmunds,23,PIT,2,2670000,80,83,84,87,53,56,71,79,51,57,51,57,52,58,48,51,72,80,67,74,77,53,52,52
S,Marcus Allen,24,PIT,1,500000,71,74,79,82,41,43,63,66,52,55,52,55,41,43,41,43,62,65,61,64,84,42,41,41
LB,Olasunkanmi Adeniyi,23,PIT,1,500000,57,58,80,81,59,60,68,69,53,54,53,54,38,38,32,32,53,54,57,58,67,47,41,38
EDGE,Isaiah Buggs,24,PIT,3,500000,48,50,60,62,67,70,63,66,54,56,54,56,46,48,25,26,45,47,48,50,77,53,48,46
LB,Devin Bush,22,PIT,3,4720000,82,85,86,89,53,56,72,79,67,74,67,74,61,67,45,48,76,84,74,81,78,56,59,61
CB,Justin Layne,22,PIT,3,550000,78,81,87,90,39,42,68,73,42,45,42,45,47,50,49,52,70,75,65,70,80,45,46,47
LB,Ulysees Gilbert III,23,PIT,3,500000,77,80,83,86,48,51,68,72,63,67,63,67,43,46,40,42,68,72,69,73,75,45,44,43
CB,Thakarius Keyes,23,KC,4,500000,57,57,74,74,43,43,64,64,35,35,35,35,53,53,54,54,61,61,48,48,54,53,53,53
LB,Casey Toohill,21,PHI,4,500000,54,56,58,60,61,63,54,56,57,59,57,59,48,49,24,25,44,45,51,53,43,62,53,48
CB,Johnathan Joseph,36,TEN,1,2000000,78,78,86,86,43,43,68,68,40,40,40,40,77,77,53,53,77,77,64,64,73,62,72,77
S,Kenny Vaccaro,30,TEN,3,6000000,71,71,88,88,49,49,72,72,54,54,54,54,53,53,51,51,70,70,67,67,84,53,53,53
DL,Jack Crawford,32,TEN,1,1190000,57,57,77,77,55,55,65,65,55,55,55,55,61,61,31,31,59,59,56,56,69,55,59,61
DL,DaQuan Jones,29,TEN,1,7000000,43,43,66,66,77,77,68,68,77,77,77,77,61,61,17,17,51,51,56,56,80,65,62,61
CB,Malcolm Butler,30,TEN,3,12250000,80,80,92,92,45,45,73,73,48,48,48,48,57,57,48,48,72,72,71,71,80,53,56,57
EDGE,Vic Beasley Jr.,28,TEN,1,2150000,75,78,85,88,69,72,76,79,53,55,53,55,54,56,41,43,69,72,66,69,80,59,56,54
CB,Tye Smith,27,TEN,1,960000,75,76,86,87,48,48,70,71,29,29,29,29,48,48,46,46,67,68,59,60,86,47,48,48
LB,Nick Dzubnar,29,TEN,1,1050000,67,67,76,76,52,52,63,63,69,69,69,69,49,49,33,33,54,54,63,63,75,48,49,49
EDGE,Kamalei Correa,26,TEN,1,2250000,67,70,84,87,54,57,70,74,67,70,67,70,54,57,35,37,65,68,67,70,78,54,54,54
S,Kevin Byard,27,TEN,5,14100000,80,82,89,92,52,54,73,75,59,61,59,61,78,80,59,61,78,80,73,75,80,71,76,78
CB,Chris Milton,28,TEN,1,1000000,84,84,80,80,41,41,64,64,43,43,43,43,42,42,43,43,63,63,63,63,84,42,42,42
CB,Adoree' Jackson,25,TEN,1,2820000,86,89,95,98,41,43,75,80,50,53,50,53,57,60,53,56,80,85,75,80,77,55,56,57
CB,Kenneth Durden,28,TEN,1,500000,78,78,87,87,46,46,71,71,34,34,34,34,32,32,50,50,67,67,62,62,86,40,35,32
DL,Joey Ivie,25,TEN,1,500000,48,49,64,66,61,63,63,65,54,56,54,56,41,42,23,24,47,48,49,50,77,49,44,41
LB,Jayon Brown,25,TEN,1,500000,75,78,81,84,53,55,68,71,67,70,67,70,77,80,46,48,68,71,68,71,80,63,72,77
LB,Nigel Harris,26,TEN,2,500000,75,77,77,79,48,49,64,66,55,57,55,57,38,39,38,39,60,62,62,64,77,44,40,38
LB,Rashaan Evans,25,TEN,2,2890000,69,72,85,88,67,70,75,80,65,70,65,70,61,65,38,41,63,67,68,73,77,62,61,61
EDGE,Harold Landry,24,TEN,2,1680000,69,72,86,89,57,60,73,79,63,68,63,68,55,59,38,41,67,72,68,73,77,58,56,55
S,Dane Cruikshank,25,TEN,2,500000,84,87,87,90,53,55,73,76,46,48,46,48,39,41,48,50,70,73,68,71,84,47,42,39
DL,Matt Dickerson,25,TEN,1,500000,50,52,70,72,61,63,63,65,57,59,57,59,33,34,21,22,47,48,52,54,69,45,37,33
S,Joshua Kalu,25,TEN,1,500000,73,76,90,93,42,44,70,73,46,48,46,48,35,36,51,53,70,73,66,69,69,40,37,35
EDGE,D'Andre Walker,23,TEN,3,500000,65,68,80,83,54,57,67,71,61,65,61,65,49,52,28,30,59,63,62,66,73,51,50,49
DL,Jeffery Simmons,23,TEN,3,3170000,52,55,73,76,80,83,72,78,65,70,65,70,61,66,19,21,55,59,56,60,69,67,63,61
CB,David Long,22,LAR,3,570000,82,85,93,96,43,46,73,78,37,40,37,40,47,50,47,50,75,80,69,74,78,47,47,47
S,Amani Hooker,22,TEN,3,500000,77,80,90,93,44,47,71,78,50,55,50,55,48,53,49,52,70,77,69,76,73,47,48,48
EDGE,Carter Coughlin,23,NYG,4,500000,63,66,81,84,50,53,68,72,52,55,52,55,43,46,41,43,54,57,59,63,61,45,44,43
EDGE,T.J. Brunson,23,NYG,4,500000,57,58,72,73,47,47,58,59,49,49,49,49,57,58,24,24,49,49,53,54,65,47,54,57
CB,Chris Williamson,23,NYG,4,500000,55,55,94,94,33,33,68,68,45,45,45,45,49,49,54,54,71,71,63,63,41,60,53,49
EDGE,Tae Crowder,23,NYG,4,500000,52,53,69,70,44,44,56,57,49,49,49,49,51,52,39,39,49,49,50,51,69,45,49,51
CB,Chris Claybrooks,22,JAX,4,500000,84,87,72,75,35,37,61,65,41,43,41,43,54,57,47,50,69,73,59,63,48,44,51,54
S,Harrison Smith,31,MIN,2,10250000,75,75,92,92,52,52,76,76,65,65,65,65,84,84,65,65,78,78,75,75,90,76,81,84
LB,Anthony Barr,28,MIN,4,13500000,75,78,89,92,54,56,74,77,73,76,73,76,63,66,49,51,71,74,75,78,71,59,62,63
DL,Shamar Stephen,29,MIN,2,4150000,46,46,63,63,71,71,65,65,63,63,63,63,55,55,21,21,51,51,51,51,80,58,56,55
EDGE,Danielle Hunter,26,MIN,4,14400000,77,79,85,88,63,65,74,76,67,69,67,69,88,91,25,26,78,80,71,73,80,77,84,88
LB,Eric Kendricks,28,MIN,4,10000000,71,73,82,84,54,56,70,72,78,80,78,80,88,91,50,52,75,77,71,73,67,74,83,88
S,Anthony Harris,29,MIN,1,11440000,75,75,88,88,42,42,69,69,48,48,48,48,78,78,53,53,76,76,67,67,73,62,73,78
EDGE,Anthony Zettel,28,MIN,1,1000000,59,59,74,74,67,67,69,69,67,67,67,67,47,47,35,35,56,56,60,60,84,55,50,47
DL,Michael Pierce,28,MIN,3,9000000,51,51,68,68,92,92,76,76,71,71,71,71,71,71,18,18,56,56,57,57,75,82,75,71
EDGE,Ifeadi Odenigbo,26,MIN,1,500000,65,66,73,74,61,62,66,67,53,54,53,54,48,49,22,22,55,56,57,58,77,53,50,48
DL,Jaleel Johnson,26,MIN,1,500000,47,48,71,72,65,66,65,66,61,62,61,62,50,51,26,27,49,50,53,54,86,54,51,50
LB,Ben Gedeon,26,MIN,1,500000,63,65,82,84,55,57,69,71,61,63,61,63,51,53,43,44,61,63,63,65,88,52,51,51
LB,Eric Wilson,26,MIN,1,3260000,73,75,85,88,54,56,71,73,65,67,65,67,48,49,42,43,69,71,69,71,75,51,49,48
CB,Mike Hughes,23,MIN,2,2470000,78,81,94,97,48,51,76,82,37,40,37,40,52,56,54,57,72,78,68,73,78,51,52,52
DL,Jalyn Holmes,24,MIN,2,500000,57,59,63,66,75,78,68,71,57,59,57,59,40,42,40,42,50,52,53,55,80,54,45,40
LB,Cameron Smith,23,MIN,1,500000,67,70,80,83,52,55,66,70,67,71,67,71,43,46,36,38,61,65,65,69,63,47,44,43
CB,Kris Boyd,24,MIN,3,500000,82,82,87,87,46,46,70,70,43,43,43,43,38,38,43,43,67,67,67,67,77,43,40,38
DL,Armon Watts,24,MIN,3,500000,46,48,69,72,69,72,66,69,57,59,57,59,50,52,17,18,50,52,51,53,75,55,52,50
DL,Jashon Cornell,21,DET,4,500000,38,39,66,67,57,58,60,61,59,60,59,60,77,79,20,20,47,48,48,49,59,59,71,77
S,Vernon Scott,22,GB,4,500000,77,79,78,80,40,41,59,60,54,55,54,55,51,52,39,40,59,60,62,63,55,54,52,51
DL,Jonathan Garvin,21,GB,4,500000,45,46,69,70,80,82,71,72,61,62,61,62,55,56,9,9,46,47,52,53,37,58,56,55
CB,Stantley Thomas-Oliver,21,CAR,4,500000,69,72,72,75,43,46,61,65,51,55,51,55,38,41,37,40,59,63,57,61,77,59,45,38
LB,Clay Johnston,23,LAR,4,500000,47,47,70,71,75,76,70,71,55,56,55,56,59,60,31,31,48,48,51,52,77,73,64,59
S,Geno Stone,21,BAL,4,500000,54,56,78,80,44,45,59,61,57,59,57,59,73,75,46,47,57,59,56,58,57,70,72,73
S,Kamren Curl,21,WAS,4,500000,73,75,84,87,43,44,66,68,50,52,50,52,35,36,48,49,60,62,64,66,46,43,38,35
EDGE,James S-Williams,21,WAS,4,500000,41,42,52,53,51,52,52,53,78,80,78,80,52,53,20,20,41,42,52,53,34,56,53,52
DL,Carlos Davis,24,PIT,4,500000,37,37,49,49,90,90,65,65,55,55,55,55,32,32,4,4,33,33,42,42,51,53,39,32
DL,J.J. Watt,31,HOU,2,16670000,57,57,85,85,94,94,83,83,94,94,94,94,98,98,57,57,75,75,74,74,67,95,97,98
EDGE,Whitney Mercilus,30,HOU,4,13500000,63,63,80,80,57,57,69,69,67,67,67,67,73,73,41,41,66,66,63,63,90,65,70,73
WR,Michael Thomas,27,NO,5,19250000,78,80,92,95,54,56,77,79,19,20,19,20,98,100,98,101,86,89,61,63,80,83,93,98
DL,Timmy Jernigan,28,HOU,1,3750000,51,52,68,69,73,74,68,69,67,68,67,68,65,66,29,30,54,55,55,56,80,65,65,65
CB,Phillip Gaines,29,HOU,1,1050000,84,84,93,93,39,39,72,72,33,33,33,33,47,47,46,46,73,73,68,68,67,45,46,47
CB,Bradley Roby,28,HOU,3,10500000,84,87,91,94,45,46,73,75,38,39,38,39,65,67,48,49,78,80,68,70,75,58,63,65
DL,Brandon Dunn,28,HOU,3,4000000,47,47,61,61,59,59,61,61,59,59,59,59,59,59,29,29,50,50,50,50,80,55,58,59
DL,Angelo Blackson,28,HOU,2,4000000,52,52,67,67,54,54,61,61,65,65,65,65,52,52,20,20,54,54,55,55,80,51,52,52
LB,Benardrick McKinney,28,HOU,4,10000000,69,71,80,82,55,57,68,70,77,79,77,79,69,71,39,40,70,72,69,71,88,63,67,69
LB,Tyrell Adams,28,HOU,1,970000,67,68,82,83,45,45,66,67,63,64,63,64,43,43,43,43,59,60,65,66,77,43,43,43
CB,Vernon Hargreaves II,25,HOU,1,500000,80,83,92,95,45,48,73,77,46,49,46,49,48,51,54,57,73,77,70,74,69,48,48,48
S,Eric Murray,26,HOU,3,6000000,78,80,85,88,45,46,69,71,50,52,50,52,54,56,44,45,70,72,66,68,82,50,53,54
EDGE,Brennan Scarlett,27,HOU,1,2890000,61,62,74,75,59,60,67,68,59,60,59,60,54,55,35,36,58,59,58,59,54,55,54,54
DL,Carlos Watkins,27,HOU,1,500000,53,54,67,68,73,74,67,68,54,55,54,55,51,52,32,32,50,51,52,53,82,57,53,51
DL,Eddie Vanderdoes,26,HOU,1,500000,52,54,76,78,78,80,72,74,54,56,54,56,47,48,25,26,51,53,54,56,71,58,51,47
LB,Zach Cunningham,26,HOU,1,1120000,67,70,85,88,55,58,72,76,61,64,61,64,65,68,42,44,68,71,66,69,82,58,63,65
CB,Gareon Conley,25,HOU,1,2620000,82,85,90,93,52,55,75,80,42,45,42,45,61,65,48,51,75,80,68,72,73,56,59,61
LB,Dylan Cole,26,HOU,1,2130000,71,73,84,87,69,71,76,78,61,63,61,63,51,53,41,42,68,70,67,69,69,57,53,51
S,Justin Reid,23,HOU,2,1020000,84,87,91,94,47,50,73,80,53,58,53,58,63,69,50,53,76,83,73,80,88,60,62,63
LB,Peter Kalambayi,25,HOU,2,500000,71,74,79,82,50,52,66,69,55,57,55,57,41,43,33,34,59,61,62,64,80,44,42,41
CB,Lonnie Johnson,25,HOU,3,1300000,78,81,87,90,46,48,71,75,39,41,39,41,50,53,45,47,71,75,64,67,77,49,50,50
S,Jonathan Owens,25,HOU,2,500000,77,80,80,83,40,42,63,66,46,48,46,48,38,40,46,48,64,67,61,63,73,40,39,38
CB,Chris Jackson,22,TEN,4,500000,98,101,87,90,35,37,68,72,34,36,34,36,59,63,37,39,82,87,69,73,84,49,56,59
EDGE,Kenny Willekes,23,MIN,4,500000,54,54,76,76,51,51,64,64,50,50,50,50,35,35,46,46,51,51,53,53,77,41,37,35
S,Brian Cole,23,MIN,4,500000,65,68,88,91,48,51,64,68,48,51,48,51,73,77,43,46,66,70,63,67,54,72,73,73
CB,Sean Smith,33,FA,0,0,71,71,85,85,48,48,69,69,46,46,46,46,51,51,52,52,69,69,62,62,92,52,51,51
EDGE,John Jenkins,31,FA,0,0,46,46,59,59,84,84,68,68,59,59,59,59,52,52,21,21,47,47,49,49,77,62,55,52
CB,Johnson Bademosi,30,FA,0,0,78,78,87,87,48,48,70,70,46,46,46,46,48,48,46,46,73,73,66,66,84,48,48,48
S,Cody Davis,31,FA,0,1500000,78,78,87,87,41,41,69,69,48,48,48,48,48,48,42,42,73,73,67,67,80,47,48,48
S,Jaylen Watkins,28,FA,0,1500000,80,81,81,82,54,55,70,71,46,46,46,46,50,51,43,43,64,65,63,64,77,52,51,50
CB,Dontae Johnson,29,FA,0,0,78,78,88,88,43,43,70,70,41,41,41,41,46,46,43,43,70,70,65,65,84,45,46,46
S,Bennett Jackson,29,FA,0,0,78,78,87,87,42,42,69,69,46,46,46,46,41,41,51,51,68,68,66,66,65,42,41,41
EDGE,Randy Gregory,28,FA,0,1050000,69,70,87,89,59,60,74,75,54,55,54,55,51,52,28,29,67,68,66,67,69,55,52,51
LB,Markus Golden,29,FA,0,0,61,62,73,74,52,53,63,64,59,60,59,60,77,79,39,40,62,63,57,58,80,61,72,77
CB,De'Vante Bausby,27,FA,0,0,75,76,83,84,45,45,68,69,37,37,37,37,43,43,46,46,65,66,59,60,75,44,43,43
LB,Jordan Williams,27,FA,0,0,52,53,71,72,54,55,61,62,51,52,51,52,37,38,25,26,48,49,51,52,78,44,39,37
LB,Alex Singleton,27,FA,0,0,67,68,82,84,51,52,67,68,63,64,63,64,41,42,42,43,57,58,65,66,71,46,43,41
EDGE,Efe Obada,28,FA,0,0,71,71,78,78,54,54,66,66,54,54,54,54,40,40,33,33,57,57,61,61,75,47,42,40
EDGE,Kerry Hyder,29,FA,0,1500000,54,54,75,75,59,59,65,65,55,55,55,55,48,48,20,20,54,54,54,54,75,52,49,48
EDGE,Charles Tapper,27,FA,0,0,71,72,72,73,61,62,67,68,61,62,61,62,41,41,24,24,57,58,61,62,57,53,45,41
EDGE,Eddie Yarbrough,27,FA,0,0,59,60,81,82,63,64,71,72,57,58,57,58,48,48,25,25,57,58,60,61,63,53,50,48
EDGE,Bronson Kaufusi,29,FA,0,0,55,55,81,81,67,67,71,71,55,55,55,55,43,43,30,30,54,54,58,58,80,53,46,43
LB,Jared Norris,27,FA,0,0,65,66,83,85,54,55,69,70,57,58,57,58,41,42,37,38,57,58,63,64,80,40,41,41
S,Kavon Frazier,26,FA,0,0,73,75,86,89,51,53,70,72,54,56,54,56,48,49,48,49,69,71,66,68,82,49,48,48
EDGE,Jonathan Woodard,27,FA,0,0,54,55,81,82,69,70,72,73,67,68,67,68,30,30,22,22,54,55,61,62,78,48,36,30
EDGE,Joel Heath,27,FA,0,0,51,52,70,71,65,66,66,67,54,55,54,55,51,52,27,27,53,54,52,53,78,54,52,51
DL,Kyle Peko,27,FA,0,0,48,48,74,75,75,76,69,70,54,55,54,55,38,38,18,18,48,48,52,53,77,52,43,38
CB,Josh Hawkins,27,FA,0,0,86,87,85,86,42,42,69,70,30,30,30,30,43,43,43,43,72,73,62,63,71,45,44,43
LB,Chris Landrum,28,FA,0,0,59,60,76,77,53,54,65,66,54,55,54,55,30,30,47,47,49,49,56,57,77,41,34,30
EDGE,Anthony Lanier,27,FA,0,0,57,58,73,74,51,52,62,63,52,53,52,53,41,41,17,17,50,51,54,55,77,41,41,41
CB,Lafayette Pitts,28,FA,0,0,80,80,87,87,46,46,70,70,36,36,36,36,41,41,45,45,65,65,64,64,77,42,41,41
CB,Tony McRae,27,FA,0,1010000,75,76,81,82,46,46,66,67,42,42,42,42,43,43,46,46,64,65,60,61,78,44,43,43
CB,Tre Roberson,28,FA,0,0,73,73,85,85,43,43,68,68,28,28,28,28,35,35,37,37,62,62,57,57,73,40,37,35
CB,Trevor Williams,27,JAX,1,1000000,82,83,89,90,44,44,71,72,42,42,42,42,69,70,48,48,76,77,68,69,78,57,65,69
DL,Antwaun Woods,27,FA,0,0,53,54,66,67,71,72,67,68,63,64,63,64,61,62,30,30,52,53,54,55,73,62,61,61
S,Doug Middleton,27,FA,0,0,75,77,83,85,49,50,68,69,48,49,48,49,43,44,48,49,65,66,63,64,75,46,44,43
DL,Brian Price,26,FA,0,0,48,49,57,58,54,55,56,57,59,60,59,60,48,49,15,15,46,47,49,50,73,59,52,48
EDGE,Bryan Cox,26,FA,0,0,54,55,72,73,59,60,64,65,61,62,61,62,48,49,27,28,50,51,56,57,71,51,49,48
C,Brian Allen,25,LAR,2,500000,44,47,58,61,67,70,61,65,22,23,22,23,48,51,21,22,45,48,36,38,78,54,50,48
EDGE,Daeshon Hall,25,FA,0,0,61,63,79,82,53,55,66,69,54,56,54,56,41,43,35,36,58,60,58,60,80,47,43,41
EDGE,Caleb Brantley,26,FA,0,0,49,50,63,64,78,80,68,69,61,62,61,62,43,44,26,27,46,47,52,53,77,56,47,43
EDGE,Tashawn Bower,25,FA,0,0,59,61,75,77,55,57,64,66,54,56,54,56,42,43,25,26,52,54,56,58,77,48,44,42
DL,Jeremiah Ledbetter,26,FA,0,0,57,58,69,70,71,72,68,69,57,58,57,58,48,49,24,24,54,55,54,55,82,54,50,48
LB,B.J. Bello,26,FA,0,0,73,75,88,91,51,53,73,75,55,57,55,57,44,45,42,43,64,66,68,70,69,46,45,44
EDGE,Avery Moss,26,FA,0,0,59,60,81,83,55,56,69,70,57,58,57,58,35,36,31,32,54,55,60,61,77,46,39,35
EDGE,Keionta Davis,26,FA,0,0,65,66,68,69,71,72,68,69,55,56,55,56,38,39,33,34,58,59,56,57,75,52,43,38
CB,Teez Tabor,25,FA,0,0,75,78,85,88,43,45,68,71,44,46,44,46,49,51,57,60,62,65,63,66,80,57,52,49
S,Rudy Ford,26,FA,0,0,84,87,85,88,50,52,71,73,52,54,52,54,40,41,49,50,65,67,69,71,77,46,42,40
CB,Duke Thomas,26,FA,0,0,84,86,90,92,43,44,72,73,33,34,33,34,40,41,46,47,68,69,66,67,80,38,39,40
LB,Reggie Gilbert,27,FA,0,0,57,58,75,77,61,62,66,67,53,54,53,54,49,50,42,43,55,56,54,55,88,53,50,49
DL,Mitchell Loewen,27,FA,0,0,53,54,78,79,75,76,71,72,65,66,65,66,41,41,31,31,53,54,58,59,77,51,44,41
S,Rolan Milligan,26,FA,0,0,73,75,86,89,48,49,70,72,41,42,41,42,37,38,39,40,63,65,62,64,71,42,39,37
CB,Sojourn Shelton,26,FA,0,0,57,58,71,72,35,36,56,57,36,37,36,37,35,36,42,43,51,52,48,49,49,36,35,35
CB,Nate Hairston,26,FA,0,0,77,79,88,90,48,49,71,72,43,44,43,44,50,51,50,51,68,69,65,66,80,49,50,50
